Level,Region,Dataset,Kind,Period,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,26/27
country,BR,Hidratado Entradas,flow,Sep (2),121839,174712,121980,109481,123950,114455,109538.0,99868,
country,BR,Hidratado Entradas,flow,Oct (1),83219,90877,101456,83526,112528,94934,148814.0,97435,
country,BR,Hidratado Entradas,flow,Oct (2),81803,117508,85105,87902,127914,109389,165099.0,114843,
country,BR,Hidratado Entradas,flow,Nov (1),81403,84559,85034,90209,91830,92448,84126.0,118784,
country,BR,Hidratado Entradas,flow,Nov (2),102145,151207,95394,139628,99752,133596,132718.0,239761,
country,BR,Hidratado Entradas,flow,Dec (1),68704,75163,110958,100566,119673,101198,115833.0,161749,
country,BR,Hidratado Entradas,flow,Dec (2),139102,128453,176734,102373,171826,95604,144600.0,-8272,
country,BR,Hidratado Entradas,flow,Jan (1),94074,88390,91142,84952,97882,102360,93258.0,70095,
country,BR,Hidratado Entradas,flow,Jan (2),117886,126391,101502,121153,97171,103561,77788.0,80924,
country,BR,Hidratado Entradas,flow,Feb (1),154500,119512,78242,105434,99264,87072,111227.0,23373,
country,BR,Hidratado Entradas,flow,Feb (2),155765,119792,84385,86301,118600,176778,121571.0,111731,
country,BR,Hidratado Entradas,flow,Mar (1),116715,136655,151721,136698,78611,125328,132826.0,111773,
country,BR,Hidratado Entradas,flow,Mar (2),2981602,145572,196268,273253,132618,208825,282719.0,145839,
country,BR,Hidratado Estoque E.Disp,stock,Apr (1),550958,467929,1143907,981510,745136,1088329,1259768.0,1029198,1004468.0
country,BR,Hidratado Estoque E.Disp,stock,Apr (2),1072238,660536,1672707,1135123,1011819,1134957,1445580.0,837363,1503638.0
country,BR,Hidratado Estoque E.Disp,stock,May (1),1627993,921732,2181579,1521695,1446175,1658849,1750287.0,1120291,1996554.0
country,BR,Hidratado Estoque E.Disp,stock,May (2),2080322,1236553,2627619,2014815,1835428,2114841,2026237.0,1341356,2319339.0
country,BR,Hidratado Estoque E.Disp,stock,Jun (1),2591293,1702044,3007443,2124141,2211371,2446042,2424946.0,1623152,2717291.0
country,BR,Hidratado Estoque E.Disp,stock,Jun (2),3250734,2242287,3542165,2550909,2628638,2736146,2930823.0,1796257,2734000.0
country,BR,Hidratado Estoque E.Disp,stock,Jul (1),3923578,2740514,4184123,3111386,3107211,3497314,3320165.0,2290903,3229549.0
country,BR,Hidratado Estoque E.Disp,stock,Jul (2),4615555,3416166,4893094,3610848,3838770,4249488,3961622.0,2695603,3841173.0
country,BR,Hidratado Estoque E.Disp,stock,Aug (1),4967088,4050633,5614547,4187238,4329823,4831562,4491020.0,3092072,
country,BR,Hidratado Estoque E.Disp,stock,Aug (2),5475095,4884310,6102270,4656106,4791748,5335798,5114119.0,3667629,
country,BR,Hidratado Estoque E.Disp,stock,Sep (1),5975589,5642439,6737864,5102758,5361717,5701854,5902537.0,4194122,
country,BR,Hidratado Estoque E.Disp,stock,Sep (2),6141255,6133440,7146581,5550924,5307034,6202168,6300261.0,4634137,
country,BR,Hidratado Estoque E.Disp,stock,Oct (1),6468755,6678788,7490693,5572621,5254219,6444315,6678956.0,4985958,
country,BR,Hidratado Estoque E.Disp,stock,Oct (2),6371823,6934359,7262191,5469992,5419597,6546991,6685668.0,5143869,
country,BR,Hidratado Estoque E.Disp,stock,Nov (1),6374570,6817924,7041731,5347773,5355970,6767482,6465237.0,5075873,
country,BR,Hidratado Estoque E.Disp,stock,Nov (2),6035063,6313484,6401041,4956416,5068897,6614347,6294379.0,4973198,
country,BR,Hidratado Estoque E.Disp,stock,Dec (1),5701290,5669662,5679993,4545802,4638041,6358468,5926161.0,4451435,
country,BR,Hidratado Estoque E.Disp,stock,Dec (2),5053561,4809358,4891378,4052297,4050650,5731013,5216356.0,3983983,
country,BR,Hidratado Estoque E.Disp,stock,Jan (1),4355828,4027732,4301402,3680158,3760170,5051647,4556588.0,3434654,
country,BR,Hidratado Estoque E.Disp,stock,Jan (2),3482236,3296751,3534525,3381231,3246798,4273073,3719169.0,2854132,
country,BR,Hidratado Estoque E.Disp,stock,Feb (1),2556710,2596987,2780531,2860299,2768550,3684078,3112314.0,2370256,
country,BR,Hidratado Estoque E.Disp,stock,Feb (2),1843239,1905575,2011771,2468619,2333791,2924057,2505545.0,1961896,
country,BR,Hidratado Estoque E.Disp,stock,Mar (1),1275129,1480703,1464716,2010102,1935894,2219768,2009622.0,1482824,
country,BR,Hidratado Estoque E.Disp,stock,Mar (2),631732,997281,946816,1162623,1044628,1471356,1333013.0,978845,
country,BR,Hidratado Estoque E.Fisico,stock,Apr (1),710381,612529,1371888,1158624,860520,1244688,1414704.0,1148329,1118028.0
country,BR,Hidratado Estoque E.Fisico,stock,Apr (2),1260101,826346,1872556,1292341,1133460,1265285,1540270.0,920142,1632063.0
country,BR,Hidratado Estoque E.Fisico,stock,May (1),1904678,1126403,2436009,1716179,1586106,1770479,1888413.0,1226368,2099551.0
country,BR,Hidratado Estoque E.Fisico,stock,May (2),2468692,1440634,2927569,2125854,1994563,2222139,2144657.0,1449880,2481402.0
country,BR,Hidratado Estoque E.Fisico,stock,Jun (1),2994799,1909280,3402388,2355153,2388516,2565720,2548185.0,1727932,2855513.0
country,BR,Hidratado Estoque E.Fisico,stock,Jun (2),3726383,2459277,3936311,2807099,2815643,2891050,3103216.0,1954278,2913832.0
country,BR,Hidratado Estoque E.Fisico,stock,Jul (1),4501737,2997943,4621215,3404826,3324911,3654498,3498763.0,2418895,3511917.0
country,BR,Hidratado Estoque E.Fisico,stock,Jul (2),5275600,3755812,5338472,3904279,4089283,4429012,4125585.0,2848646,3983452.0
country,BR,Hidratado Estoque E.Fisico,stock,Aug (1),5665738,4438724,6093503,4543036,4593492,5021304,4679590.0,3294609,
country,BR,Hidratado Estoque E.Fisico,stock,Aug (2),6225231,5311185,6650083,5031912,5106188,5494264,5317544.0,3870937,
country,BR,Hidratado Estoque E.Fisico,stock,Sep (1),6861300,6106949,7314355,5537951,5672716,5910737,6130028.0,4391424,
country,BR,Hidratado Estoque E.Fisico,stock,Sep (2),7076786,6639591,7785716,6001380,5584363,6405757,6582474.0,4854531,
country,BR,Hidratado Estoque E.Fisico,stock,Oct (1),7136427,7311549,8207621,6049563,5544805,6667204,6978024.0,5247446,
country,BR,Hidratado Estoque E.Fisico,stock,Oct (2),7037761,7566528,7976678,5941266,5683482,6756040,7001483.0,5430908,
country,BR,Hidratado Estoque E.Fisico,stock,Nov (1),6889863,7478830,7801737,5768527,5645337,6988349,6698721.0,5349453,
country,BR,Hidratado Estoque E.Fisico,stock,Nov (2),6478716,6946601,7068982,5289728,5366794,6832962,6540638.0,5291310,
country,BR,Hidratado Estoque E.Fisico,stock,Dec (1),6165743,6157371,6298239,4809816,4929115,6573679,6168555.0,4797167,
country,BR,Hidratado Estoque E.Fisico,stock,Dec (2),5465580,5206121,5415722,4285510,4311666,5966400,5437548.0,4244313,
country,BR,Hidratado Estoque E.Fisico,stock,Jan (1),4712381,4358523,4729383,3901095,3969323,5298212,4764678.0,3712972,
country,BR,Hidratado Estoque E.Fisico,stock,Jan (2),3790593,3620829,3939175,3572796,3412514,4497756,3902103.0,3119847,
country,BR,Hidratado Estoque E.Fisico,stock,Feb (1),2929983,2932725,3153878,3079536,2972404,3859934,3358176.0,2538992,
country,BR,Hidratado Estoque E.Fisico,stock,Feb (2),2210115,2193259,2426943,2647569,2450803,3138903,2692883.0,2118355,
country,BR,Hidratado Estoque E.Fisico,stock,Mar (1),1501933,1683494,1741264,2206899,2058862,2427170,2166866.0,1638716,
country,BR,Hidratado Estoque E.Fisico,stock,Mar (2),801429,1131014,1137598,1325548,1351767,1639966,1503688.0,1081344,
country,BR,Hidratado Producao,flow,Apr (1),812546,687026,863371,679489,323411,480317,733374.0,837365,1017876.0
country,BR,Hidratado Producao,flow,Apr (2),1231724,1196704,1183797,973673,807533,561374,1139412.0,750902,1519391.0
country,BR,Hidratado Producao,flow,May (1),1448822,1280460,1354352,1254318,1128000,1112429,1320879.0,1177129,1378612.0
country,BR,Hidratado Producao,flow,May (2),1195742,1491323,1320890,1250983,1311594,1244667,1332142.0,1292480,1376080.0
country,BR,Hidratado Producao,flow,Jun (1),1479586,1417326,1328491,1000031,1143492,1264923,1391057.0,1146526,1393475.0
country,BR,Hidratado Producao,flow,Jun (2),1572934,1576125,1429864,1319584,1232030,1103635,1495812.0,1251679,1092153.0
country,BR,Hidratado Producao,flow,Jul (1),1606839,1562390,1506305,1424993,1297474,1486871,1351688.0,1377319,1570452.0
country,BR,Hidratado Producao,flow,Jul (2),1787387,1912544,1726941,1408129,1512993,1542721,1681659.0,1472201,1577442.0
country,BR,Hidratado Producao,flow,Aug (1),1395412,1711591,1620188,1460859,1224637,1463203,1539810.0,1375537,
country,BR,Hidratado Producao,flow,Aug (2),1655526,1994326,1599533,1431032,1380715,1512542,1702685.0,1587612,
country,BR,Hidratado Producao,flow,Sep (1),1776923,1786539,1662914,1240348,1318766,1319787,1749531.0,1580790,
country,BR,Hidratado Producao,flow,Sep (2),1281290,1726960,1527189,1360398,908832,1479772,1599969.0,1483590,
country,BR,Hidratado Producao,flow,Oct (1),1170580,1766977,1432079,873468,820388,1245159,1479282.0,1414519,
country,BR,Hidratado Producao,flow,Oct (2),1155254,1595096,1085542,679604,960274,1217632,1176051.0,1322954,
country,BR,Hidratado Producao,flow,Nov (1),895959,1086060,852504,629010,813341,1105210,798213.0,947421,
country,BR,Hidratado Producao,flow,Nov (2),690137,641820,475281,313262,562790,924154,990330.0,886180,
country,BR,Hidratado Producao,flow,Dec (1),770385,285058,269538,226127,336606,799214,652289.0,599179,
country,BR,Hidratado Producao,flow,Dec (2),275731,200099,189752,132664,244348,398019,409946.0,443138,
country,BR,Hidratado Producao,flow,Jan (1),691216,172214,180786,216797,152301,286196,294454.0,339371,
country,BR,Hidratado Producao,flow,Jan (2),119018,179705,158721,177228,162234,324517,303298.0,344640,
country,BR,Hidratado Producao,flow,Feb (1),79169,155227,153465,147095,185232,232344,295834.0,307480,
country,BR,Hidratado Producao,flow,Feb (2),79639,135523,100928,138274,98866,255554,281225.0,268600,
country,BR,Hidratado Producao,flow,Mar (1),129697,208663,225034,161560,204772,274027,322045.0,316531,
country,BR,Hidratado Producao,flow,Mar (2),22718654,423209,381903,262380,458829,451126,445013.0,468200,
country,BR,Hidratado Saidas Distrib,flow,Apr (1),555476,887137,526348,669739,661177,490209,962456.0,979613,915405.0
country,BR,Hidratado Saidas Distrib,flow,Apr (2),657845,965671,631037,799651,655548,491454,980526.0,957832,990769.0
country,BR,Hidratado Saidas Distrib,flow,May (1),755437,941000,720221,765865,686355,567463,965093.0,865960,887229.0
country,BR,Hidratado Saidas Distrib,flow,May (2),537606,1129967,731882,708290,765579,726779,1006962.0,1010108,927726.0
country,BR,Hidratado Saidas Distrib,flow,Jun (1),895919,916951,727262,694031,668638,817025,932905.0,844406,966944.0
country,BR,Hidratado Saidas Distrib,flow,Jun (2),782830,896578,732188,704793,648143,749571,890804.0,982712,904391.0
country,BR,Hidratado Saidas Distrib,flow,Jul (1),771714,950724,728727,745614,725874,645952,913050.0,884479,863218.0
country,BR,Hidratado Saidas Distrib,flow,Jul (2),953905,1077487,848839,739239,667478,643860,998762.0,970438,1026884.0
country,BR,Hidratado Saidas Distrib,flow,Aug (1),934652,974210,757526,749380,648578,759692,933878.0,904578,
country,BR,Hidratado Saidas Distrib,flow,Aug (2),1048705,1038101,848401,773003,723526,880084,971896.0,927067,
country,BR,Hidratado Saidas Distrib,flow,Sep (1),1025145,917468,828821,627011,668200,822465,903392.0,962281,
country,BR,Hidratado Saidas Distrib,flow,Sep (2),965428,1033263,920668,692970,774951,898009,999188.0,973194,
country,BR,Hidratado Saidas Distrib,flow,Oct (1),1001466,1031364,889485,677960,735624,909052,1074436.0,958911,
country,BR,Hidratado Saidas Distrib,flow,Oct (2),1142037,1239026,1041790,623581,718731,987354,1082689.0,1043991,
country,BR,Hidratado Saidas Distrib,flow,Nov (1),945158,1091347,832391,618838,753627,846067,987549.0,945891,
country,BR,Hidratado Saidas Distrib,flow,Nov (2),985746,1063224,931724,581700,647446,973796,1070665.0,1008523,
country,BR,Hidratado Saidas Distrib,flow,Dec (1),1043958,993834,938914,603750,681790,1010715,958052.0,1039538,
country,BR,Hidratado Saidas Distrib,flow,Dec (2),959304,1093357,1010471,572682,822509,908338,1117438.0,877292,
country,BR,Hidratado Saidas Distrib,flow,Jan (1),1387837,987740,814781,593358,512614,885184,937675.0,891543,
country,BR,Hidratado Saidas Distrib,flow,Jan (2),1056278,912718,870408,518278,634397,1069809,1108638.0,940494,
country,BR,Hidratado Saidas Distrib,flow,Feb (1),1009035,870658,887595,592965,637376,876349,855607.0,846253,
country,BR,Hidratado Saidas Distrib,flow,Feb (2),857794,858438,702744,558216,605723,935442,951130.0,723872,
country,BR,Hidratado Saidas Distrib,flow,Mar (1),871637,783459,890162,626088,566206,958081,879022.0,810861,
country,BR,Hidratado Saidas Distrib,flow,Mar (2),21879737,836995,932654,1113313,948983,1099783,1188006.0,1033124,
country,BR,Hidratado Saidas M.Ext,flow,Apr (1),11197,925,40461,11262,10349,39181,55304.0,6818,551.0
country,BR,Hidratado Saidas M.Ext,flow,Apr (2),827,3397,7773,41971,26951,51626,14857.0,10337,11149.0
country,BR,Hidratado Saidas M.Ext,flow,May (1),343,1861,24578,23275,3506,14566,16480.0,24293,5012.0
country,BR,Hidratado Saidas M.Ext,flow,May (2),55452,14798,65162,67988,49283,19038,43064.0,48434,11625.0
country,BR,Hidratado Saidas M.Ext,flow,Jun (1),6156,2490,60062,34695,13777,53441,20786.0,24023,17548.0
country,BR,Hidratado Saidas M.Ext,flow,Jun (2),29549,63905,101033,79896,82576,43725,21226.0,44816,50031.0
country,BR,Hidratado Saidas M.Ext,flow,Jul (1),44599,29087,32908,19167,17185,34418,31747.0,34589,71188.0
country,BR,Hidratado Saidas M.Ext,flow,Jul (2),45717,41553,90577,96194,19158,71369,53934.0,53552,34485.0
country,BR,Hidratado Saidas M.Ext,flow,Aug (1),37724,26209,40389,9629,9971,80869,40316.0,27409,
country,BR,Hidratado Saidas M.Ext,flow,Aug (2),25320,44191,132064,64610,85184,114191,98084.0,69862,
country,BR,Hidratado Saidas M.Ext,flow,Sep (1),61866,25787,92711,28742,23239,47684,32976.0,103186,
country,BR,Hidratado Saidas M.Ext,flow,Sep (2),27126,46623,72712,113486,122237,59966,141098.0,25445,
country,BR,Hidratado Saidas M.Ext,flow,Oct (1),35142,21572,46024,28553,54115,42301,31832.0,24315,
country,BR,Hidratado Saidas M.Ext,flow,Oct (2),27052,63692,139973,19401,50319,96563,58936.0,52905,
country,BR,Hidratado Saidas M.Ext,flow,Nov (1),4677,22664,81895,36634,3575,11106,34990.0,37387,
country,BR,Hidratado Saidas M.Ext,flow,Nov (2),51364,28275,88539,77889,79410,113111,78226.0,9899,
country,BR,Hidratado Saidas M.Ext,flow,Dec (1),23774,20051,14469,7904,38553,22370,27112.0,49245,
country,BR,Hidratado Saidas M.Ext,flow,Dec (2),39844,70278,129686,79679,96944,100861,71898.0,27446,
country,BR,Hidratado Saidas M.Ext,flow,Jan (1),44750,22043,38011,2898,9211,55511,49429.0,7473,
country,BR,Hidratado Saidas M.Ext,flow,Jan (2),2729,5965,57839,4864,83178,100758,55049.0,12625,
country,BR,Hidratado Saidas M.Ext,flow,Feb (1),-488,283,27969,43485,16607,24283,9082.0,6137,
country,BR,Hidratado Saidas M.Ext,flow,Feb (2),22764,38237,121350,16466,74123,120552,62907.0,3087,
country,BR,Hidratado Saidas M.Ext,flow,Mar (1),1502,-2810,99193,27488,34551,55125,40663.0,25028,
country,BR,Hidratado Saidas M.Ext,flow,Mar (2),638547,101675,103378,140933,204530,86213,86814.0,5271,
country,BR,Hidratado Saidas Outras,flow,Apr (1),59683,89040,97998,78963,61818,99775,117575.0,89572,81838.0
country,BR,Hidratado Saidas Outras,flow,Apr (2),101965,90985,112954,96134,103649,86853,93232.0,110907,97278.0
country,BR,Hidratado Saidas Outras,flow,May (1),111678,103367,140820,89100,146353,121739,81334.0,58747,74542.0
country,BR,Hidratado Saidas Outras,flow,May (2),79193,110254,171698,146439,149286,145912,100791.0,108495,108168.0
country,BR,Hidratado Saidas Outras,flow,Jun (1),103213,108570,155208,141060,119318,149309,96544.0,80711,95472.0
country,BR,Hidratado Saidas Outras,flow,Jun (2),130049,127097,163130,169186,135361,167546,93595.0,93649,147922.0
country,BR,Hidratado Saidas Outras,flow,Jul (1),105431,134125,166928,154965,130413,121937,91816.0,108411,103057.0
country,BR,Hidratado Saidas Outras,flow,Jul (2),166895,150116,179358,218919,147449,157574,97961.0,117736,117166.0
country,BR,Hidratado Saidas Outras,flow,Aug (1),140675,159539,176021,173051,163111,132049,93932.0,120268,
country,BR,Hidratado Saidas Outras,flow,Aug (2),178097,165994,183476,226165,162706,149940,147710.0,117937,
country,BR,Hidratado Saidas Outras,flow,Sep (1),150361,159769,180144,184705,153377,132939,116108.0,100885,
country,BR,Hidratado Saidas Outras,flow,Sep (2),195089,289144,184428,199994,223947,141232,116775.0,121712,
country,BR,Hidratado Saidas Outras,flow,Oct (1),157550,132960,176121,202298,182735,127293,126278.0,135813,
country,BR,Hidratado Saidas Outras,flow,Oct (2),166634,154907,219827,232821,180461,154268,176066.0,157439,
country,BR,Hidratado Saidas Outras,flow,Nov (1),175425,144306,198193,236486,186114,108176,162562.0,164382,
country,BR,Hidratado Saidas Outras,flow,Nov (2),166319,233757,283167,272100,214229,126230,132240.0,165662,
country,BR,Hidratado Saidas Outras,flow,Dec (1),84330,135566,197856,194951,173615,126610,155041.0,166288,
country,BR,Hidratado Saidas Outras,flow,Dec (2),115848,116167,108846,106982,114170,91703,96217.0,82982,
country,BR,Hidratado Saidas Outras,flow,Jan (1),105902,98419,105475,89908,70701,116049,73478.0,41791,
country,BR,Hidratado Saidas Outras,flow,Jan (2),99685,125107,122184,103538,98639,57967,79974.0,65570,
country,BR,Hidratado Saidas Outras,flow,Feb (1),85732,91902,101440,109339,70623,56606,86299.0,59318,
country,BR,Hidratado Saidas Outras,flow,Feb (2),74714,98106,88154,81860,59221,97369,54052.0,74009,
country,BR,Hidratado Saidas Outras,flow,Mar (1),81455,74434,73079,85352,74567,97882,61203.0,72054,
country,BR,Hidratado Saidas Outras,flow,Mar (2),3065304,182591,145805,162738,145029,261159,116090.0,133016,
region,CS,Acucar,flow,Apr (1),725011,391830,1008761,687810,128797,582476,771216.0,826564,742247.0
region,CS,Acucar,flow,Apr (2),1408504,1040583,2027549,1538320,940542,999606,1854005.0,848519,1763102.0
region,CS,Acucar,flow,May (1),1891058,1600005,2472458,2414833,1571877,2508210,2577398.0,2438177,2115604.0
region,CS,Acucar,flow,May (2),1262081,1863083,2531817,2613950,2298672,2823961,2714911.0,2914245,2191348.0
region,CS,Acucar,flow,Jun (1),1995910,1854607,2546854,2022593,2244053,2506470,3123877.0,2384203,2312229.0
region,CS,Acucar,flow,Jun (2),2208523,2046714,2723491,2917319,2455162,2648922,3262078.0,2882544,1609469.0
region,CS,Acucar,flow,Jul (1),2308037,2096617,3008594,2976340,2782480,3389598,2947987.0,3380110,3187444.0
region,CS,Acucar,flow,Jul (2),2558751,2526739,3417001,3130893,3498689,3644869,3616046.0,3640015,3000630.0
region,CS,Acucar,flow,Aug (1),1661459,2027293,3199943,2990857,2592853,3420476,3077594.0,3593557,
region,CS,Acucar,flow,Aug (2),2159312,2546794,2950419,2932561,3159385,3520682,3275821.0,3908298,
region,CS,Acucar,flow,Sep (1),2306131,2017663,3189127,2507969,2781938,3003090,3134841.0,3625987,
region,CS,Acucar,flow,Sep (2),1259507,1777438,2845170,2375222,1775523,3324588,2834477.0,3042670,
region,CS,Acucar,flow,Oct (1),1083915,1937905,2613488,1201039,1825887,2314478,2421999.0,2566602,
region,CS,Acucar,flow,Oct (2),934084,1525837,1722027,849013,2146979,2455887,1796824.0,2092985,
region,CS,Acucar,flow,Nov (1),846880,790951,1240179,622415,1667456,2201412,914407.0,964756,
region,CS,Acucar,flow,Nov (2),505812,346711,406887,160400,1041487,1448104,1081158.0,761605,
